
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1   0.6933988E+04   0.8327057E+02   0.1325292E+02   0.0000000E+00
      2   0.2723864E+06   0.5219065E+03   0.8306400E+02   0.0000000E+00
      3   0.2130937E+07   0.1459773E+04   0.2323301E+03   0.0000000E+00
      4   0.8111395E+07   0.2848051E+04   0.4532814E+03   0.0000000E+00
      5   0.2169019E+08   0.4657273E+04   0.7412280E+03   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1  -0.2115073E-13   0.4633968E-01  -0.2693048E-13  -0.3707175E-02  -0.1214694E-14   0.2614747E-02
      2  -0.7641437E-14   0.2567824E-01   0.4342374E-15  -0.2054259E-02  -0.7627232E-15   0.9841182E-03
      3  -0.9236183E-14   0.1505226E-01   0.3747199E-14  -0.1204181E-02  -0.6591070E-15   0.5337196E-03
      4   0.5985776E-14   0.1075746E-01   0.6427152E-14  -0.8605969E-03   0.5101203E-15   0.3678292E-03
      5   0.8508599E-14  -0.8362915E-02  -0.4849704E-14   0.6690332E-03   0.6550743E-15  -0.2799369E-03

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.4473535E-27   0.2147366E-02   0.7252506E-27   0.1374314E-04   0.1475481E-29   0.6836901E-05
      2   0.5839156E-28   0.6593719E-03   0.1885621E-30   0.4219980E-05   0.5817467E-30   0.9684886E-06
      3   0.8530708E-28   0.2265705E-03   0.1404150E-28   0.1450051E-05   0.4344220E-30   0.2848566E-06
      4   0.3582951E-28   0.1157230E-03   0.4130828E-28   0.7406269E-06   0.2602227E-30   0.1352983E-06
      5   0.7239625E-28   0.6993835E-04   0.2351963E-28   0.4476054E-06   0.4291224E-30   0.7836469E-07
TOTAL     0.6992779E-27   0.3218970E-02   0.8043086E-27   0.2060141E-04   0.3180995E-29   0.8303909E-05

     T O T A L   E F F E C T I V E   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.3485453E-02   0.3485453E-02   0.1556778E-02   0.2452906E-04   0.2694875E-04   0.1171693E-04

