
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1   0.6940875E+04   0.8331191E+02   0.1325950E+02   0.0000000E+00
      2   0.2723850E+06   0.5219052E+03   0.8306379E+02   0.0000000E+00
      3   0.2128735E+07   0.1459018E+04   0.2322100E+03   0.0000000E+00
      4   0.8090835E+07   0.2844439E+04   0.4527066E+03   0.0000000E+00
      5   0.2159293E+08   0.4646820E+04   0.7395643E+03   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.1754130E-12   0.4633646E-01  -0.1609196E-12  -0.3706917E-02   0.1816027E-13   0.2614691E-02
      2   0.1716293E-12  -0.2567963E-01  -0.1135322E-12   0.2054370E-02   0.1850374E-13  -0.9841918E-03
      3  -0.2492167E-12  -0.1505664E-01   0.2736738E-12   0.1204531E-02  -0.2468757E-13  -0.5339792E-03
      4   0.2347620E-12  -0.1076464E-01  -0.2243369E-12   0.8611711E-03   0.2408351E-13  -0.3680284E-03
      5  -0.2989005E-12   0.8372260E-02  -0.1620157E-12  -0.6697808E-03  -0.1957959E-13   0.2803145E-03

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.3076972E-25   0.2147068E-02   0.2589513E-25   0.1374123E-04   0.3297955E-27   0.6836607E-05
      2   0.2945660E-25   0.6594434E-03   0.1288955E-25   0.4220438E-05   0.3423886E-27   0.9686335E-06
      3   0.6210897E-25   0.2267025E-03   0.7489733E-25   0.1450896E-05   0.6094761E-27   0.2851338E-06
      4   0.5511320E-25   0.1158774E-03   0.5032704E-25   0.7416156E-06   0.5800156E-27   0.1354449E-06
      5   0.8934152E-25   0.7009474E-04   0.2624909E-25   0.4486063E-06   0.3833605E-27   0.7857622E-07
TOTAL     0.2667900E-24   0.3219186E-02   0.1902581E-24   0.2060279E-04   0.2245036E-26   0.8304396E-05

     T O T A L   E F F E C T I V E   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.3501000E-02   0.3501000E-02   0.1556769E-02   0.2463685E-04   0.2705659E-04   0.1174610E-04

