
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1   0.6946942E+04   0.8334832E+02   0.1326530E+02   0.0000000E+00
      2   0.2726657E+06   0.5221740E+03   0.8310657E+02   0.0000000E+00
      3   0.2131057E+07   0.1459814E+04   0.2323366E+03   0.0000000E+00
      4   0.8100383E+07   0.2846117E+04   0.4529736E+03   0.0000000E+00
      5   0.2162072E+08   0.4649809E+04   0.7400401E+03   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.3334491E-13   0.4633066E-01   0.5895794E-13  -0.3706452E-02   0.2203714E-14   0.2614471E-02
      2   0.4182720E-13  -0.2567655E-01  -0.8251200E-13   0.2054124E-02   0.3791506E-14  -0.9842564E-03
      3  -0.1232123E-12  -0.1505472E-01   0.1897647E-13   0.1204378E-02  -0.1032226E-13  -0.5340215E-03
      4  -0.1296448E-12   0.1076322E-01  -0.3797893E-13  -0.8610579E-03  -0.1046420E-13   0.3680684E-03
      5  -0.1090621E-11   0.8371158E-02   0.2808814E-15  -0.6696926E-03  -0.8714750E-13   0.2803421E-03

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.1111883E-26   0.2146530E-02   0.3476039E-26   0.1373779E-04   0.4856355E-29   0.6835456E-05
      2   0.1749514E-26   0.6592853E-03   0.6808231E-26   0.4219426E-05   0.1437551E-28   0.9687606E-06
      3   0.1518128E-25   0.2266446E-03   0.3601063E-27   0.1450525E-05   0.1065490E-27   0.2851790E-06
      4   0.1680778E-25   0.1158470E-03   0.1442399E-26   0.7414208E-06   0.1094995E-27   0.1354743E-06
      5   0.1189455E-23   0.7007629E-04   0.7889435E-31   0.4484882E-06   0.7594687E-26   0.7859167E-07
TOTAL     0.1224305E-23   0.3218383E-02   0.1208685E-25   0.2059765E-04   0.7829968E-26   0.8303462E-05

     T O T A L   E F F E C T I V E   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.3498407E-02   0.3498407E-02   0.1556769E-02   0.2461887E-04   0.2703860E-04   0.1174126E-04

