
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1   0.6952197E+04   0.8337984E+02   0.1327031E+02   0.0000000E+00
      2   0.2773737E+06   0.5266628E+03   0.8382099E+02   0.0000000E+00
      3   0.2226146E+07   0.1492027E+04   0.2374635E+03   0.0000000E+00
      4   0.8803955E+07   0.2967146E+04   0.4722359E+03   0.0000000E+00
      5   0.2477289E+08   0.4977238E+04   0.7921520E+03   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1  -0.4496800E-14   0.4631506E-01  -0.1706411E-14  -0.3705205E-02  -0.3301950E-15   0.2612307E-02
      2  -0.6705062E-14  -0.2557083E-01  -0.5113403E-14   0.2045667E-02  -0.4395227E-15  -0.9826711E-03
      3  -0.3235125E-14   0.1488007E-01  -0.1083557E-14  -0.1190406E-02  -0.2516119E-15   0.5272514E-03
      4   0.3294053E-14   0.1050085E-01  -0.4037439E-14  -0.8400683E-03   0.2622224E-15   0.3618669E-03
      5   0.6579365E-14  -0.8024785E-02   0.6254261E-14   0.6419828E-03   0.4034133E-15  -0.2683857E-03

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.2022121E-28   0.2145085E-02   0.2911840E-29   0.1372854E-04   0.1090287E-30   0.6824150E-05
      2   0.4495785E-28   0.6538675E-03   0.2614689E-28   0.4184752E-05   0.1931802E-30   0.9656426E-06
      3   0.1046603E-28   0.2214165E-03   0.1174097E-29   0.1417065E-05   0.6330853E-31   0.2779941E-06
      4   0.1085079E-28   0.1102679E-03   0.1630091E-28   0.7057147E-06   0.6876059E-31   0.1309477E-06
      5   0.4328804E-28   0.6439718E-04   0.3911578E-28   0.4121419E-06   0.1627423E-30   0.7203087E-07
TOTAL     0.1297839E-27   0.3195034E-02   0.8564952E-28   0.2044822E-04   0.5970203E-30   0.8270765E-05

     T O T A L   E F F E C T I V E   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.3416263E-02   0.3416263E-02   0.1556778E-02   0.2404934E-04   0.2646797E-04   0.1158229E-04

